species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,"7,2",,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,true,2022-04-25,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 15 south section,"6,6",,2021-W36 Swiss chard HVW15-S,harvest from 2021-W36 Swiss chard HVW15-S,true,2022-04-25,,,,plantings,weight,Kg
Land cress,Summer Green House (SGH) - bed 4 north section,"0,66",,2022-W13 Land cress SGH4-N,harvest from 2022-W13 Land cress SGH4-N,true,2022-04-25,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 23 north section,"13,4",,2021-W52 Celery HVE23-N,harvest from 2021-W52 Celery HVE23-N,true,2022-04-25,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 4,"22,2",,2021-W37 Lettuce HVW04-N,harvest from 2021-W37 Lettuce HVW04-N,true,2022-04-25,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 18 south section,11,,2021-W46 Leek HVE18-S,harvest from 2021-W46 Leek HVE18-S,true,2022-04-25,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 18 north section,"2,04",,2021-W46 Garlic HVE18-N,harvest from 2021-W46 Garlic HVE18-N,true,2022-04-25,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 19,16,,2022-W04 Potato HVE19,harvest from 2022-W04 Potato HVE19,true,2022-04-25,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 16 south section,27,,2022-W04 Beetroot HVE16-S,harvest from 2022-W04 Beetroot HVE16-S,true,2022-04-25,,,,plantings,weight,Kg
Lambs lettuce,Summer Green House (SGH) - bed 4 south section,"1,166",,2022-W10 Lambs lettuce SGH4-S,harvest from 2022-W10 Lambs lettuce SGH4-S,true,2022-04-25,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 9 north section,"8,6",,2021-W38 Spring onion HVE09-N,harvest from 2021-W38 Spring onion HVE09-N,true,2022-04-25,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"0,85",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-04-25,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 23 south section,"1,76",,2022-W06 Coriander HVE23-S,harvest from 2022-W06 Coriander HVE23-S,true,2022-04-25,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"4,8",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-04-25,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 27,"6,5",,2022-W06 Green cabbage HVE27,harvest from 2022-W06 Green cabbage HVE27,true,2022-04-25,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 19,2,,2021-W32 Green cabbage HVW19,harvest from 2021-W32 Green cabbage HVW19,true,2022-04-25,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 21 north section,4,,2022-W05 Kolrabi HVE21-N,harvest from 2022-W05 Kolrabi HVE21-N,true,2022-04-25,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 27,"10,4",,2022-W06 Kolrabi HVE27,harvest from 2022-W06 Kolrabi HVE27,true,2022-04-25,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"4,45",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-04-25,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 10 south section,"5,4",,2022-W10 Chinese cabbage HVE10-S,harvest from 2022-W10 Chinese cabbage HVE10-S,true,2022-04-25,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 21 south section,"0,3",,2022-W05 Chinese cabbage HVE21-S,harvest from 2022-W05 Chinese cabbage HVE21-S,true,2022-04-25,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 23 south section,"0,62",,2022-W10 Zucchini HVE23-S,harvest from 2022-W10 Zucchini HVE23-S,true,2022-04-25,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 24 south section,"0,19",,2022-W10 Zucchini HVE24-S,harvest from 2022-W10 Zucchini HVE24-S,true,2022-04-25,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 1,"3,06",,2022-W09 Zucchini WGH1,harvest from 2022-W09 Zucchini WGH1,true,2022-04-25,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 2,"3,91",,2022-W09 Zucchini WGH2,harvest from 2022-W09 Zucchini WGH2,true,2022-04-25,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 8 south section,"10,25",,2022-W09 Spinaches HVE08-S,harvest from 2022-W09 Spinaches HVE08-S,true,2022-04-25,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 14 north section,"9,1",,2021-W43 Broad beans HVE14-N,harvest from 2021-W43 Broad beans HVE14-N,true,2022-04-25,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 17,5,,2021-W48 Broad beans HVE17,harvest from 2021-W48 Broad beans HVE17,true,2022-04-25,,,,plantings,weight,Kg
Mizuna purple,HortasDoVale-East (HDVE) - bed 13 south section,"1,1",,2022-W14 Mizuna purple HVE13-S,harvest from 2022-W14 Mizuna purple HVE13-S,true,2022-04-25,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 13 south section,"1,76",,2022-W14 Mizuna green HVE13-S,harvest from 2022-W14 Mizuna green HVE13-S,true,2022-04-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"3,45",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-04-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"3,55",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-04-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"5,4",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-04-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,"2,7",,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,true,2022-04-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,"3,6",,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,true,2022-04-25,,,,plantings,weight,Kg
Pack choi,HortasDoVale-East (HDVE) - bed 24,"4,15",,2022-W14 Pack choi HVE24,harvest from 2022-W14 Pack choi HVE24,true,2022-04-25,,,,plantings,weight,Kg
Radishes,Summer Green House (SGH) - bed 3 south section,"3,7",,2021-W34 Radishes SGH3-S,harvest from 2021-W34 Radishes SGH3-S,true,2022-04-25,,,,plantings,weight,Kg
Horseradish,HortasDoVale-East (HDVE) - bed 22 south section,"16,9",,2022-W06 Horseradish HVE22-S,harvest from 2022-W06 Horseradish HVE22-S,true,2022-04-25,,,,plantings,weight,Kg
Rucula,HortasDoVale-East (HDVE) - bed 23 north section,"2,4",,2022-W14 Rucula HVE23-N,harvest from 2022-W14 Rucula HVE23-N,true,2022-04-25,,,,plantings,weight,Kg
Parsley,HortasDoVale-East (HDVE) - bed 24 north section,"1,1",,2022-W01 Parsley HVE24-N,harvest from 2022-W01 Parsley HVE24-N,true,2022-04-25,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 2 north section,"0,8",,2021-W08 Parsley SGH2-N,harvest from 2021-W08 Parsley SGH2-N,true,2022-04-25,,,,plantings,weight,Kg
